,Betweenness,Degree,User-ID,Incoming_Edges,Homophily,User_Community
61745,0.005547960879773395,6860,1546656000,6508,0.7583090379008747,2
74026,0.0026645550088074533,11203,2922345639,11052,0.7367669374274748,2
3424,0.0026374582212130397,3976,16585101,3721,0.6908953722334004,2
25886,0.0017906440490539149,5070,115681686,4886,0.7577909270216963,2
108945,0.001743045759703915,3968,951302891708583936,3802,0.6958165322580645,2
23487,0.0015153354841254984,5993,88426758,5731,0.7183380610712498,2
104992,0.0015003500670974028,2652,899115298997055491,2489,0.7330316742081447,2
81441,0.0014082150332026526,6760,4165642155,6683,0.6914201183431953,2
109121,0.0013708958789194468,1820,952981731900116992,1564,0.6967032967032967,2
42283,0.001263847244357267,8220,393190233,8126,0.7317518248175182,2
98961,0.0012567236516545966,2456,830538315036229632,2202,0.7349348534201955,2
8701,0.0012042951016430733,2833,23360808,2538,0.7193787504412283,2
119727,0.001101788730334209,4143,1092086942198452224,3906,0.2522326816316679,0
47602,0.0011007539259484207,3569,528999980,3401,0.6746987951807228,2
78787,0.0010509679791406022,4327,3353061012,4157,0.7522532932747862,2
127616,0.0010121530779216598,5641,1192537046134534155,5488,0.27459670271228503,0
83552,0.0009369319868473401,1988,4853227804,1699,0.7193158953722334,2
71237,0.0009289645452986527,2097,2713427480,1984,0.6943252265140677,2
149782,0.0009057586056115684,1744,1324772999212445698,1378,0.2993119266055046,0
93116,0.0008952229684860856,3321,799111347111751680,3139,0.7422463113520024,2
21349,0.0008884364177517072,4111,69190453,4021,0.7246412065190951,2
62879,0.000880889250541231,2366,1661094252,2036,0.7003381234150465,2
34804,0.0008750138040693893,1739,259260816,1384,0.7038527889591719,2
49686,0.0008658669702389424,3760,584897918,3597,0.6949468085106383,2
45351,0.0008644648518112396,3275,469348125,3204,0.7477862595419847,2
149949,0.0008514140135026402,1935,1325172083559604226,1716,0.33746770025839795,0
30454,0.0008448495855406312,3287,187022370,3013,0.6991177365378765,2
20920,0.0008398408682469324,2740,66053650,2531,0.7021897810218978,2
108023,0.000780217869105448,3097,939921079673479169,2949,0.6867936712948014,2
8199,0.0007478089528141071,2864,22663306,2665,0.7611731843575419,2
149572,0.0007311197841116013,1836,1324314793075974145,1556,0.30010893246187365,0
143508,0.0006856734747680933,1326,1293984914652762114,1056,0.2722473604826546,0
105117,0.0006748970831922902,2515,901063185305882624,2340,0.6823061630218688,2
35131,0.0006348575803041195,1714,262800088,1641,0.7135355892648775,2
29351,0.0006314439649873115,1620,167778891,1369,0.6987654320987654,2
94620,0.0006064366836138888,3617,811717240030711813,3483,0.7638927287807575,2
99072,0.0006061034115588485,2441,831320691580497920,2374,0.71446128635805,2
104962,0.0005347283343535756,2316,898757756848680960,2157,0.7081174438687392,2
85830,0.0005176357786759714,1544,719662077934243840,1437,0.716321243523316,2
9804,0.0004956990107727638,3303,25360591,3249,0.7838328792007266,2
143736,0.00047614093180145967,481,1295339359865110528,374,0.28274428274428276,0
60927,0.0004697527266256117,6802,1445111881,6751,0.7037635989414878,2
138462,0.0004497204602977693,1179,1267542193545244672,1032,0.29346904156064463,0
73683,0.0004361451305447621,1578,2899459274,1447,0.688212927756654,2
53129,0.00042654329706891627,1544,810943316,1324,0.6755181347150259,2
126572,0.00041187057407294673,1608,1181952938266304512,1344,0.2667910447761194,0
74385,0.00041167804448040657,2981,2950103415,2885,0.6715867158671587,2
124990,0.00041057605609886064,1401,1165398811008819200,1225,0.30406852248394006,0
45750,0.0004022573986925234,1652,478367964,1571,0.736682808716707,2
144276,0.0004015508004767881,520,1298093598475395072,433,0.28846153846153844,0
74790,0.0003949697138540982,1437,2981776113,1310,0.6645789839944328,2
121809,0.0003760561493710496,401,1120832249698705414,209,0.3192019950124688,0
14778,0.00035855177547145824,1982,37862226,1908,0.6574167507568113,2
