,Betweenness,Degree,User-ID,Incoming_Edges,Homophily,User_Community
113675,6.969825423685526e-05,774,1011574790044438529,738,0.3462532299741602,0
122340,6.417816659929764e-05,445,1129580639290830848,309,0.2786516853932584,0
1410,6.23746759714309e-05,1445,14515799,1435,0.7349480968858132,2
139900,6.0932399075411476e-05,530,1273754649716195328,500,0.3018867924528302,0
129008,5.857982707580609e-05,839,1207357186827005953,829,0.4266984505363528,0
136405,5.8486331601001976e-05,443,1257117821793951746,337,0.27765237020316025,0
118068,5.745817590039221e-05,810,1072589785452163073,801,0.32222222222222224,0
10833,5.5994930081167613e-05,1565,27332027,1541,0.7808306709265176,2
20099,5.254522884151349e-05,2954,60876782,2950,0.7904536222071767,2
125679,4.851338261262168e-05,404,1174349501835948032,267,0.32425742574257427,0
148124,4.4546073566330216e-05,626,1317296407473172480,619,0.43450479233226835,0
49160,4.355241328005678e-05,609,568442203,572,0.33825944170771755,0
136205,4.349479034513645e-05,739,1255946337717301248,681,0.35859269282814615,0
52565,4.1964407872673055e-05,1592,780447336,1591,0.746859296482412,2
144221,3.778090050447917e-05,698,1297795271028604928,689,0.31805157593123207,0
45455,3.579659189566816e-05,4669,471677441,4659,0.7950310559006211,2
117839,3.0984871244133757e-05,1114,1069422303816138752,1107,0.2737881508078995,0
118684,2.949145793837251e-05,414,1081236268795736067,400,0.321256038647343,0
133823,2.8592718698385883e-05,989,1243560408025198593,981,0.2810920121334681,0
144574,2.727083433716035e-05,451,1299572918993784832,422,0.3148558758314856,0
128760,2.6330570892580663e-05,441,1204930164389556224,425,0.3786848072562358,0
1256,2.4157876912073506e-05,2001,14298769,1999,0.7811094452773614,2
18047,2.2927261417559484e-05,2802,49698134,2800,0.806566738044254,2
122102,2.163424153850124e-05,761,1125926699810598914,682,0.37844940867279897,0
74341,2.1537812156625505e-05,1407,2946730163,1405,0.7860696517412935,2
29037,2.013027131199348e-05,767,162301746,755,0.196870925684485,0
7157,1.888550355178855e-05,3011,21268897,3003,0.8309531717037529,2
19135,1.7607087594857748e-05,2005,55060090,1982,0.7461346633416459,2
47695,1.7018605562804225e-05,620,531490780,576,0.3532258064516129,0
119693,1.6670428420160145e-05,561,1091702567212478464,538,0.35650623885918004,0
119326,1.401708237189144e-05,902,1087380412089987077,897,0.21729490022172948,0
1421,1.079856092196136e-05,2679,14529929,2676,0.8324001493094438,2
120821,1.0545629011671723e-05,1902,1106771843929788419,1892,0.23501577287066247,0
18429,7.838476174837598e-06,2642,51241574,2639,0.8039364118092355,2
129760,5.067253967217911e-06,448,1214523064106602497,445,0.27232142857142855,0
115054,4.752028060045138e-06,1454,1031376329353117696,1452,0.2840440165061898,0
11629,4.436799979030285e-06,3634,29077161,3632,0.7878370941111723,2
30323,3.525675341483135e-06,2142,184860130,2141,0.8361344537815126,2
30066,3.2092051860456827e-06,3005,180107694,3004,0.7866888519134775,2
1216,3.0618561044283038e-06,2137,14247236,2134,0.7426298549368273,2
127579,2.881164229325056e-06,827,1192160073897988096,826,0.16807738814993953,0
130643,9.006680027903568e-07,739,1221517846821457921,729,0.2706359945872801,0
121799,7.885721067433672e-07,629,1120698997327294464,627,0.21621621621621623,0
136754,6.581759104161395e-07,411,1259145052598743042,410,0.7493917274939172,0
100939,1.6504481821991274e-07,1439,850438410171035651,1436,0.752605976372481,2
113065,1.6379348301250056e-07,1755,1003107003693137921,1754,0.7720797720797721,2
28828,1.384675707521237e-07,2208,158426909,2207,0.8134057971014492,2
99443,7.055712193486059e-08,1378,834081571493785600,1377,0.18505079825834542,0
2700,2.459774498068338e-08,808,15976705,807,0.1806930693069307,0
128223,0.0,2001,1198280137315274752,1983,0.27886056971514245,0
128789,0.0,1274,1205226529455632385,1274,0.2425431711145997,0
129038,0.0,1706,1207551012661288960,1706,0.21512309495896834,0
6827,0.0,1891,20742461,1891,0.8080380750925437,2
68110,0.0,4127,2381079758,4127,0.81293918100315,2
1310,0.0,6139,14364337,6139,0.824890047238964,2
7831,0.0,2300,22129280,2300,0.8382608695652174,2
121025,0.0,3175,1109045045649424386,3175,0.2031496062992126,0
102317,0.0,2388,870429873621172226,2388,0.8174204355108877,2
8640,0.0,2547,23281108,2547,0.7981939536709854,2
150641,0.0,875,1327148566763204611,875,0.37485714285714283,0
77185,0.0,3462,3223426134,3460,0.8324667822068169,2
68587,0.0,3749,2421067430,3748,0.7759402507335289,2
6062,0.0,955,19568591,955,0.21675392670157068,0
23658,0.0,1371,89887215,1371,0.8008752735229759,2
114073,0.0,440,1017509607013474305,440,0.22727272727272727,0
11790,0.0,2146,29501253,2146,0.782851817334576,2
12935,0.0,2085,32804484,2085,0.7952038369304556,2
132495,0.0,434,1237393951658627075,434,0.2880184331797235,0
48427,0.0,1381,548384458,1381,0.8088341781317886,2
129757,0.0,410,1214418891499331584,410,0.3024390243902439,0
12962,0.0,10625,32871086,10625,0.8043294117647058,2
115408,0.0,581,1035948712500056066,581,0.2134251290877797,0
44783,0.0,2303,455684839,2302,0.7581415544941381,2
43312,0.0,3516,415581517,3516,0.8265073947667805,2
39532,0.0,5875,341190477,5875,0.8076595744680851,2
128624,0.0,689,1203661881476571136,689,0.32365747460087085,0
37589,0.0,1372,304679484,1372,0.7835276967930029,2
121390,0.0,1696,1113828112503115776,1693,0.21226415094339623,0
123156,0.0,1131,1143542870575595520,1131,0.19540229885057472,0
